Date,Close,High,Low,Open,Volume,Return,Vol_5,MA_5
2008-05-22,745.0,788.0,743.0,778.0,60066,,,774.7
2008-05-23,752.5,759.5,740.5,746.75,32763,,,770.1
2008-05-27,759.0,767.75,752.5,754.25,23734,,,763.7
2008-05-28,759.0,766.5,743.5,756.75,30302,,,758.7
2008-05-29,743.5,762.5,730.75,759.75,40036,,,751.8
2008-05-30,761.5,765.0,739.75,743.5,42560,,,755.1
2008-06-02,782.5,798.25,759.5,759.5,60732,,,761.1
2008-06-03,750.5,782.5,745.75,780.0,65896,,,759.4
2008-06-04,753.0,764.75,747.0,752.0,54902,,,758.2
2008-06-05,785.5,786.25,753.5,755.5,45432,,,766.6
2008-06-06,811.0,829.75,783.25,785.0,68857,,,776.5
2008-06-09,788.5,838.0,786.5,822.0,67880,,,777.7
2008-06-10,809.0,812.5,786.5,794.0,70599,,,789.4
2008-06-11,869.0,869.0,804.5,810.25,48017,,,812.6
2008-06-12,851.0,883.0,837.75,883.0,94244,,,825.7
2008-06-13,882.0,893.0,838.0,851.0,66901,,,839.9
2008-06-16,876.5,913.75,874.25,883.0,52267,,,857.5
2008-06-17,898.25,901.5,869.0,873.5,42895,,,875.35
2008-06-18,904.0,913.5,885.0,898.0,42212,,,882.35
2008-06-19,881.0,910.0,875.0,904.0,42824,,,888.35
2008-06-20,866.5,893.75,863.25,881.0,42944,,,885.25
2008-06-23,866.25,873.5,842.25,861.5,42540,,,883.2
2008-06-24,870.0,883.25,859.75,866.0,37015,,,877.55
2008-06-25,901.75,911.75,866.5,869.25,47858,,,877.1
2008-06-26,924.0,952.75,898.5,898.5,40435,,,885.7
2008-06-27,895.5,940.0,890.0,924.0,37102,,,891.5
2008-06-30,843.5,903.25,839.0,886.5,12426,,,886.95
2008-07-01,849.75,860.25,839.0,843.0,9976,,,882.9
2008-07-02,865.25,868.5,840.0,849.75,6028,,,875.6
2008-07-03,872.75,877.5,855.25,868.5,7222,,,865.35
2008-07-07,822.0,865.0,813.25,865.0,2490,,,850.65
2008-07-08,823.25,827.5,801.0,822.5,2788,,,846.6
2008-07-09,814.0,829.0,811.0,829.0,1216,,,839.45
2008-07-10,806.5,818.75,803.25,818.75,871,,,827.7
2008-07-11,819.0,832.25,801.0,809.5,601,,,816.95
2008-07-14,810.0,814.0,804.0,812.25,23010,,,814.55
2008-07-15,811.0,828.5,805.75,818.0,31701,,,812.1
